1556564200920459593|Q|ETH-USDT|149|81|157|65
1556564200970459566|Q|ETH-USDT|147|82|157|63
1556564201020459562|Q|ETH-USDT|148|38|159|57
1556564201070459577|Q|ETH-USDT|141|22|159|28
1556564201120459567|T|ETH-USDT|141|22
1556564201170459589|T|ETH-USDT|141|22
1556564201220459550|Q|ETH-USDT|147|45|153|34
1556564201270459547|Q|ETH-USDT|146|26|160|3
1556564201320459605|Q|ETH-USDT|148|23|159|29
1556564201370459532|Q|ETH-USDT|140|90|152|8
1556564201420459612|Q|ETH-USDT|146|44|155|9
1556564201470459596|Q|ETH-USDT|140|36|159|78
1556564201520459540|Q|ETH-USDT|146|43|155|51
1556564201570459546|Q|ETH-USDT|145|53|152|15
1556564201620459598|Q|ETH-USDT|145|70|152|97
1556564201670459613|Q|ETH-USDT|149|82|154|51
1556564201720459615|T|ETH-USDT|149|13
1556564201770459577|Q|ETH-USDT|141|35|156|42
1556564201820459530|T|ETH-USDT|141|35
1556564201870459529|Q|ETH-USDT|145|37|155|98
1556564201920459538|Q|ETH-USDT|146|5|157|38
1556564201970459545|Q|ETH-USDT|142|89|154|3
1556564202020459586|Q|ETH-USDT|146|40|159|50
1556564202070459578|Q|ETH-USDT|147|71|151|39
1556564202120459602|Q|ETH-USDT|141|58|153|19
1556564202170459563|Q|ETH-USDT|146|55|154|87
1556564202220459565|T|ETH-USDT|154|79
1556564202270459604|Q|ETH-USDT|144|89|157|8
1556564202320459536|Q|ETH-USDT|143|74|157|69
1556564202370459572|Q|ETH-USDT|147|2|157|65
1556564202420459540|Q|ETH-USDT|142|19|157|53
1556564202470459567|Q|ETH-USDT|143|54|159|48
1556564202520459527|Q|ETH-USDT|146|63|156|16
1556564202570459579|Q|ETH-USDT|140|37|151|4
1556564202620459593|Q|ETH-USDT|144|25|152|16
1556564202670459605|Q|ETH-USDT|145|54|154|94
1556564202720459541|T|ETH-USDT|145|25
1556564202770459549|Q|ETH-USDT|140|40|152|44
1556564202820459588|Q|ETH-USDT|140|20|156|29
1556564202870459548|Q|ETH-USDT|142|36|155|37
1556564202920459562|Q|ETH-USDT|145|38|159|31
1556564202970459548|T|ETH-USDT|145|38
1556564203020459565|Q|ETH-USDT|140|60|157|42
1556564203070459587|Q|ETH-USDT|149|40|154|62
1556564203120459608|Q|ETH-USDT|143|98|155|41
1556564203170459526|Q|ETH-USDT|147|88|152|73
1556564203220459593|Q|ETH-USDT|149|31|157|1
1556564203270459520|T|ETH-USDT|157|1
1556564203320459568|Q|ETH-USDT|148|7|155|95
1556564203370459568|Q|ETH-USDT|149|50|159|70
1556564203420459520|T|ETH-USDT|159|55
1556564203470459532|Q|ETH-USDT|145|54|155|35
1556564203520459582|T|ETH-USDT|155|35
1556564203570459558|Q|ETH-USDT|147|6|157|96
1556564203620459544|Q|ETH-USDT|142|42|156|23
1556564203670459604|Q|ETH-USDT|145|2|152|30
1556564203720459528|T|ETH-USDT|145|2
1556564203770459579|Q|ETH-USDT|147|79|153|75
1556564203820459597|Q|ETH-USDT|147|33|153|92
1556564203870459535|Q|ETH-USDT|145|80|159|58
1556564203920459551|T|ETH-USDT|159|58
1556564203970459574|T|ETH-USDT|159|58
1556564204020459554|Q|ETH-USDT|146|94|159|83
1556564204070459595|T|ETH-USDT|146|86
1556564204120459600|T|ETH-USDT|159|1
